complete,task,created_at,completed_at,tags
[ ],Book room at local saloon,2013-06-13T16:30:38-07:00,,hello there Something Hussain There
[ ],Check into room and read Gideon's bible,2013-06-13T16:30:38-07:00,,""
[ ],Drink too much gin,2013-06-13T16:30:38-07:00,,Food
[ ],Hussain Task,2013-06-13T17:04:49-07:00,,""
[ ],Overhear Lil and Danny in neighboring room,2013-06-13T16:30:38-07:00,,""
[ ],Burst into neighboring room and declare a showdown,2013-06-13T16:30:38-07:00,,Food
[ ],Return to room and read Gideon's bible,2013-06-13T16:30:38-07:00,,hussain joke kite
[ ],Sing along! D'do d'do d'do do do d'do d'do d'do,2013-06-13T16:30:38-07:00,,""
[X],What the fuck are we doing,2013-06-13T16:30:38-07:00,2013-06-13T19:17:59-07:00,Food
[ ],What are we waiting for,2013-06-13T16:30:38-07:00,,""
[ ],Have Ice Cream,2013-06-13T16:30:38-07:00,,""
[ ],Going to Lunch,2013-06-13T16:30:38-07:00,,Food Sandwiches Turkey
[ ],New Task,2013-06-13T18:59:58-07:00,,""
